Unidad Académica,Respuestas general,Respuestas completas,Respuestas incompletas,No respondientes
FACULTAD DE INGENIERÍA,35,0,35,0
FACULTAD DE ARTES,12,0,12,0
FACULTAD DE CIENCIAS EXACTAS Y NATURALES,11,0,11,0
ESCUELA DE IDIOMAS,9,0,9,0
FACULTAD DE CIENCIAS SOCIALES Y HUMANAS,8,0,8,0
FACULTAD DE EDUCACIÓN,6,0,6,0
FACULTAD DE CIENCIAS ECONÓMICAS,5,0,5,0
ESCUELA INTERAMERICANA DE BIBLIOTECOLOGÍA,4,0,4,0
ESCUELA DE MICROBIOLOGÍA,4,0,4,0
FACULTAD DE ODONTOLOGÍA,2,0,2,0
FACULTAD DE CIENCIAS AGRARIAS,2,0,2,0
FACULTAD DE COMUNICACIONES Y FILOLOGÍA,2,0,2,0
FACULTAD DE DERECHO Y CIENCIAS POLÍTICAS,2,0,2,0
INSTITUTO DE FILOSOFÍA,2,0,2,0
FACULTAD DE MEDICINA,1,0,1,0
CORPORACIÓN AMBIENTAL,1,0,1,0
